Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/03/2017,0,140,36,10,52,221,0,63,32,53,16,13,26,9,14,175,248,108,29,132,0,112,48,182,75,173,55,24,92,193,91,9,19,21,24,33,0,13,0,46,17,16,24,291
01/03/2017,1,64,17,5,23,141,0,60,36,29,8,3,6,2,4,83,162,40,17,91,0,51,25,136,32,88,26,12,33,136,42,7,13,3,19,13,0,13,0,27,16,19,20,128
01/03/2017,2,29,11,9,14,47,0,26,21,13,3,10,3,1,3,65,64,55,4,59,0,17,9,59,16,24,17,6,36,58,23,7,16,5,5,21,0,9,0,32,5,1,3,86
01/03/2017,3,13,9,8,10,48,0,26,12,21,4,0,1,0,4,64,36,14,4,47,0,6,5,42,11,33,7,6,37,40,9,1,2,3,5,14,0,6,0,6,6,1,2,35
01/03/2017,4,13,10,4,11,63,0,15,18,12,1,2,5,1,2,37,51,33,22,25,0,31,31,34,22,9,12,1,48,33,12,8,3,13,5,8,0,8,0,14,4,6,3,27
01/03/2017,5,31,84,45,144,93,0,40,18,27,96,30,21,2,37,127,288,102,48,51,0,195,50,38,105,14,8,10,163,20,22,22,33,29,21,6,0,24,0,63,11,4,3,162
01/03/2017,6,92,252,204,741,191,0,138,89,93,581,112,119,20,155,383,885,258,257,139,0,832,225,75,232,36,16,36,423,32,23,126,61,94,77,8,0,93,0,257,44,31,20,817
01/03/2017,7,327,767,803,2485,415,0,417,257,400,1847,349,210,12,286,1129,2095,636,703,229,0,2214,673,162,546,111,53,78,1187,183,103,301,198,287,236,35,0,252,0,505,160,140,99,1803
01/03/2017,8,908,1997,1836,5392,1065,0,876,609,849,3863,558,311,12,439,2077,4533,1281,908,520,0,4038,1379,336,823,196,146,197,2373,271,158,586,263,752,782,173,0,691,0,743,836,677,317,3475
01/03/2017,9,775,1319,948,2817,939,0,887,767,874,2063,356,178,12,219,1408,2220,557,455,622,0,3000,824,368,413,198,137,119,1391,350,127,436,210,661,547,146,0,519,0,417,989,843,372,2031
